diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,30,0.1,0.1,0.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,40,0.1,0.1,0.2
2018,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,45,0.1,0.1,0.2
2019,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,40,0.1,0.1,0.1
2020,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,25,0.1,0,0.1
2021,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,45,0.1,0.1,0.2
2022,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,225,0.1,0.1,0.1
2016,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,50,0.1,0.1,0.2
2017,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,55,0.2,0.1,0.2
2018,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,55,0.2,0.1,0.2
2019,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,40,0.1,0.1,0.1
2020,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,35,0.1,0.1,0.1
2021,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,45,0.1,0.1,0.2
2022,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,280,0.1,0.1,0.1
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
