diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2021,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,11.96,11.57,12.36
2022,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,10,9.65,10.36
2023,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,9.93,9.58,10.29
allyears,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,12.37,12.22,12.52
2016,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.77,3.77,3.77
2017,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.47,3.47,3.47
2018,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.62,3.62,3.62
2019,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.75,3.75,3.75
2020,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.2,3.2,3.2
2021,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,4.42,4.42,4.42
2022,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.1,3.1,3.1
2023,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,3.42,3.42,3.42
allyears,0-49,All Persons,IMD1,All Regions,All Stages,All Routes,4.1,3.93,4.27
2016,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,38.98,38.98,38.98
2017,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,40.38,40.38,40.38
2018,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,38.32,38.32,38.32
2019,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,32.08,32.08,32.08
2020,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,36.37,36.37,36.37
2021,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,35.43,35.43,35.43
2022,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,32.14,32.14,32.14
2023,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,31.02,31.02,31.02
allyears,50-54,All Persons,IMD1,All Regions,All Stages,All Routes,40.64,38.87,42.41
2016,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,55.11,55.11,55.11
2017,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,56.45,56.45,56.45
2018,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,57.28,57.28,57.28
2019,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,58.07,58.07,58.07
2020,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,57.78,57.78,57.78
2021,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,49.17,49.17,49.17
2022,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,50.02,50.02,50.02
2023,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,48.25,48.25,48.25
allyears,55-59,All Persons,IMD1,All Regions,All Stages,All Routes,61.8,59.52,64.07
2016,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,69.24,69.24,69.24
2017,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,74.22,74.22,74.22
2018,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,76.37,76.37,76.37
2019,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,71.27,71.27,71.27
2020,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,62.71,62.71,62.71
2021,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,74.22,74.22,74.22
2022,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,62.96,62.96,62.96
2023,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,62.44,62.44,62.44
allyears,60-64,All Persons,IMD1,All Regions,All Stages,All Routes,79.53,76.71,82.36
2016,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,78.29,78.29,78.29
2017,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,89.8,89.8,89.8
2018,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,79.07,79.07,79.07
2019,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,83.4,83.4,83.4
2020,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,71.49,71.49,71.49
2021,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,71.96,71.96,71.96
2022,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,76.1,76.1,76.1
2023,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,76.76,76.76,76.76
allyears,65-69,All Persons,IMD1,All Regions,All Stages,All Routes,89.1,85.85,92.34
2016,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,82.03,82.03,82.03
2017,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,80.16,80.16,80.16
2018,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,79.95,79.95,79.95
2019,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,84.75,84.75,84.75
2020,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,75.82,75.82,75.82
2021,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,65.52,65.52,65.52
2022,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,74.18,74.18,74.18
2023,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,64.97,64.97,64.97
allyears,70-74,All Persons,IMD1,All Regions,All Stages,All Routes,85.36,81.96,88.77
2016,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,69.67,69.67,69.67
2017,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,64.7,64.7,64.7
2018,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,70.97,70.97,70.97
2019,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,76.36,76.36,76.36
2020,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,64.68,64.68,64.68
2021,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,59.55,59.55,59.55
2022,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,63.29,63.29,63.29
2023,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,68.43,68.43,68.43
allyears,75-79,All Persons,IMD1,All Regions,All Stages,All Routes,76.06,72.31,79.81
2016,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,56.35,56.35,56.35
2017,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,60.64,60.64,60.64
2018,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,54.06,54.06,54.06
2019,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,60.12,60.12,60.12
2020,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,52.92,52.92,52.92
2021,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,45.86,45.86,45.86
2022,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,66.98,66.98,66.98
2023,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,56.8,56.8,56.8
allyears,80-84,All Persons,IMD1,All Regions,All Stages,All Routes,63.06,59.03,67.09
2016,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,52.25,52.25,52.25
2017,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,45.66,45.66,45.66
2018,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,53.03,53.03,53.03
2019,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,49.76,49.76,49.76
2020,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,54.48,54.48,54.48
2021,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,40.57,40.57,40.57
2022,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,43.45,43.45,43.45
2023,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,62.86,62.86,62.86
allyears,85-89,All Persons,IMD1,All Regions,All Stages,All Routes,55.53,50.69,60.37
2016,90+,All Persons,IMD1,All Regions,All Stages,All Routes,39.08,39.08,39.08
2017,90+,All Persons,IMD1,All Regions,All Stages,All Routes,41.64,41.64,41.64
2018,90+,All Persons,IMD1,All Regions,All Stages,All Routes,39.3,39.3,39.3
2019,90+,All Persons,IMD1,All Regions,All Stages,All Routes,35.78,35.78,35.78
2020,90+,All Persons,IMD1,All Regions,All Stages,All Routes,39.22,39.22,39.22
2021,90+,All Persons,IMD1,All Regions,All Stages,All Routes,27.56,27.56,27.56
2022,90+,All Persons,IMD1,All Regions,All Stages,All Routes,34.14,34.14,34.14
2023,90+,All Persons,IMD1,All Regions,All Stages,All Routes,40.08,40.08,40.08
allyears,90+,All Persons,IMD1,All Regions,All Stages,All Routes,41.2,35.74,46.65
2016,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,26.54,25.43,27.65
2017,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,27.22,26.1,28.33
2018,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,26.92,25.82,28.03
2019,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,27.07,25.97,28.17
2020,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,24.86,23.82,25.91
2021,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,24.47,23.54,25.4
2022,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,24.26,23.23,25.29
2023,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,24.11,23.08,25.14
allyears,all ages,All Persons,IMD1,All Regions,All Stages,All Routes,29.17,28.74,29.59
2016,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.97,4.97,4.97
2017,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.42,4.42,4.42
2018,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.66,4.66,4.66
2019,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.9,4.9,4.9
2020,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.29,4.29,4.29
2021,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.72,4.72,4.72
2022,0-49,Male,IMD1,All Regions,All Stages,All Routes,3.74,3.74,3.74
2023,0-49,Male,IMD1,All Regions,All Stages,All Routes,4.33,4.33,4.33
allyears,0-49,Male,IMD1,All Regions,All Stages,All Routes,5.14,4.87,5.41
2016,50-54,Male,IMD1,All Regions,All Stages,All Routes,56.83,56.83,56.83
2017,50-54,Male,IMD1,All Regions,All Stages,All Routes,60.53,60.53,60.53
2018,50-54,Male,IMD1,All Regions,All Stages,All Routes,58.48,58.48,58.48
2019,50-54,Male,IMD1,All Regions,All Stages,All Routes,45.77,45.77,45.77
2020,50-54,Male,IMD1,All Regions,All Stages,All Routes,48.95,48.95,48.95
2021,50-54,Male,IMD1,All Regions,All Stages,All Routes,54.07,54.07,54.07
2022,50-54,Male,IMD1,All Regions,All Stages,All Routes,43.26,43.26,43.26
2023,50-54,Male,IMD1,All Regions,All Stages,All Routes,44.11,44.11,44.11
allyears,50-54,Male,IMD1,All Regions,All Stages,All Routes,58.85,55.81,61.89
2016,55-59,Male,IMD1,All Regions,All Stages,All Routes,78.83,78.83,78.83
2017,55-59,Male,IMD1,All Regions,All Stages,All Routes,85.56,85.56,85.56
2018,55-59,Male,IMD1,All Regions,All Stages,All Routes,83.09,83.09,83.09
2019,55-59,Male,IMD1,All Regions,All Stages,All Routes,87.42,87.42,87.42
2020,55-59,Male,IMD1,All Regions,All Stages,All Routes,87.42,87.42,87.42
2021,55-59,Male,IMD1,All Regions,All Stages,All Routes,76.72,76.72,76.72
2022,55-59,Male,IMD1,All Regions,All Stages,All Routes,73.26,73.26,73.26
2023,55-59,Male,IMD1,All Regions,All Stages,All Routes,69.08,69.08,69.08
allyears,55-59,Male,IMD1,All Regions,All Stages,All Routes,92.07,88.09,96.05
2016,60-64,Male,IMD1,All Regions,All Stages,All Routes,98.38,98.38,98.38
2017,60-64,Male,IMD1,All Regions,All Stages,All Routes,107.2,107.2,107.2
2018,60-64,Male,IMD1,All Regions,All Stages,All Routes,110.6,110.6,110.6
2019,60-64,Male,IMD1,All Regions,All Stages,All Routes,99.34,99.34,99.34
2020,60-64,Male,IMD1,All Regions,All Stages,All Routes,90.29,90.29,90.29
2021,60-64,Male,IMD1,All Regions,All Stages,All Routes,133.13,133.13,133.13
2022,60-64,Male,IMD1,All Regions,All Stages,All Routes,93.96,93.96,93.96
2023,60-64,Male,IMD1,All Regions,All Stages,All Routes,93.26,93.26,93.26
allyears,60-64,Male,IMD1,All Regions,All Stages,All Routes,119.14,114.18,124.11
2016,65-69,Male,IMD1,All Regions,All Stages,All Routes,118.72,118.72,118.72
2017,65-69,Male,IMD1,All Regions,All Stages,All Routes,135.34,135.34,135.34
2018,65-69,Male,IMD1,All Regions,All Stages,All Routes,120.92,120.92,120.92
2019,65-69,Male,IMD1,All Regions,All Stages,All Routes,123.42,123.42,123.42
2020,65-69,Male,IMD1,All Regions,All Stages,All Routes,105.13,105.13,105.13
2021,65-69,Male,IMD1,All Regions,All Stages,All Routes,138.57,138.57,138.57
2022,65-69,Male,IMD1,All Regions,All Stages,All Routes,101.99,101.99,101.99
2023,65-69,Male,IMD1,All Regions,All Stages,All Routes,116.75,116.75,116.75
allyears,65-69,Male,IMD1,All Regions,All Stages,All Routes,137.43,131.58,143.27
2016,70-74,Male,IMD1,All Regions,All Stages,All Routes,127.76,127.76,127.76
2017,70-74,Male,IMD1,All Regions,All Stages,All Routes,122.39,122.39,122.39
2018,70-74,Male,IMD1,All Regions,All Stages,All Routes,122.58,122.58,122.58
2019,70-74,Male,IMD1,All Regions,All Stages,All Routes,128.05,128.05,128.05
2020,70-74,Male,IMD1,All Regions,All Stages,All Routes,117.15,117.15,117.15
2021,70-74,Male,IMD1,All Regions,All Stages,All Routes,149.16,149.16,149.16
2022,70-74,Male,IMD1,All Regions,All Stages,All Routes,108.25,108.25,108.25
2023,70-74,Male,IMD1,All Regions,All Stages,All Routes,103.33,103.33,103.33
allyears,70-74,Male,IMD1,All Regions,All Stages,All Routes,139.97,133.46,146.48
2016,75-79,Male,IMD1,All Regions,All Stages,All Routes,104.24,104.24,104.24
2017,75-79,Male,IMD1,All Regions,All Stages,All Routes,98.93,98.93,98.93
2018,75-79,Male,IMD1,All Regions,All Stages,All Routes,108.31,108.3,108.31
2019,75-79,Male,IMD1,All Regions,All Stages,All Routes,115.49,115.49,115.49
2020,75-79,Male,IMD1,All Regions,All Stages,All Routes,92.8,92.8,92.8
2021,75-79,Male,IMD1,All Regions,All Stages,All Routes,140.97,140.97,140.97
2022,75-79,Male,IMD1,All Regions,All Stages,All Routes,96.61,96.61,96.61
2023,75-79,Male,IMD1,All Regions,All Stages,All Routes,103.35,103.35,103.35
allyears,75-79,Male,IMD1,All Regions,All Stages,All Routes,123.93,116.54,131.32
2016,80-84,Male,IMD1,All Regions,All Stages,All Routes,96.32,96.32,96.32
2017,80-84,Male,IMD1,All Regions,All Stages,All Routes,95.13,95.13,95.13
2018,80-84,Male,IMD1,All Regions,All Stages,All Routes,84.11,84.11,84.11
2019,80-84,Male,IMD1,All Regions,All Stages,All Routes,87.9,87.9,87.9
2020,80-84,Male,IMD1,All Regions,All Stages,All Routes,81.8,81.8,81.8
2021,80-84,Male,IMD1,All Regions,All Stages,All Routes,102.43,102.43,102.43
2022,80-84,Male,IMD1,All Regions,All Stages,All Routes,104.51,104.51,104.51
2023,80-84,Male,IMD1,All Regions,All Stages,All Routes,89.03,89.03,89.03
allyears,80-84,Male,IMD1,All Regions,All Stages,All Routes,104.67,96.37,112.98
2016,85-89,Male,IMD1,All Regions,All Stages,All Routes,78.07,78.07,78.08
2017,85-89,Male,IMD1,All Regions,All Stages,All Routes,67.86,67.86,67.86
2018,85-89,Male,IMD1,All Regions,All Stages,All Routes,75.93,75.93,75.93
2019,85-89,Male,IMD1,All Regions,All Stages,All Routes,74.92,74.92,74.92
2020,85-89,Male,IMD1,All Regions,All Stages,All Routes,79.34,79.34,79.34
2021,85-89,Male,IMD1,All Regions,All Stages,All Routes,117.22,117.22,117.22
2022,85-89,Male,IMD1,All Regions,All Stages,All Routes,72.84,72.84,72.84
2023,85-89,Male,IMD1,All Regions,All Stages,All Routes,98.85,98.85,98.85
allyears,85-89,Male,IMD1,All Regions,All Stages,All Routes,92.5,81.73,103.28
2016,90+,Male,IMD1,All Regions,All Stages,All Routes,63.92,63.92,63.92
2017,90+,Male,IMD1,All Regions,All Stages,All Routes,61.63,61.63,61.63
2018,90+,Male,IMD1,All Regions,All Stages,All Routes,56.02,56.02,56.02
2019,90+,Male,IMD1,All Regions,All Stages,All Routes,67.44,67.44,67.44
2020,90+,Male,IMD1,All Regions,All Stages,All Routes,72,72,72
2021,90+,Male,IMD1,All Regions,All Stages,All Routes,58.01,58.01,58.01
2022,90+,Male,IMD1,All Regions,All Stages,All Routes,70.63,70.63,70.63
2023,90+,Male,IMD1,All Regions,All Stages,All Routes,55.49,55.49,55.5
allyears,90+,Male,IMD1,All Regions,All Stages,All Routes,71.87,58.12,85.61
2016,all ages,Male,IMD1,All Regions,All Stages,All Routes,39.35,37.36,41.33
2017,all ages,Male,IMD1,All Regions,All Stages,All Routes,40.46,38.47,42.44
2018,all ages,Male,IMD1,All Regions,All Stages,All Routes,39.88,37.93,41.84
2019,all ages,Male,IMD1,All Regions,All Stages,All Routes,39.64,37.7,41.58
2020,all ages,Male,IMD1,All Regions,All Stages,All Routes,36.45,34.6,38.29
2021,all ages,Male,IMD1,All Regions,All Stages,All Routes,45.26,43.16,47.35
2022,all ages,Male,IMD1,All Regions,All Stages,All Routes,35,33.18,36.83
2023,all ages,Male,IMD1,All Regions,All Stages,All Routes,35.8,33.95,37.65
allyears,all ages,Male,IMD1,All Regions,All Stages,All Routes,44.63,43.84,45.41
2016,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.55,2.55,2.55
2017,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.51,2.51,2.51
2018,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.58,2.58,2.58
2019,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.58,2.58,2.58
2020,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.1,2.1,2.1
2021,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.86,2.86,2.86
2022,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.47,2.47,2.47
2023,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.52,2.52,2.52
allyears,0-49,Female,IMD1,All Regions,All Stages,All Routes,2.88,2.68,3.09
2016,50-54,Female,IMD1,All Regions,All Stages,All Routes,21.46,21.46,21.46
2017,50-54,Female,IMD1,All Regions,All Stages,All Routes,20.63,20.63,20.63
2018,50-54,Female,IMD1,All Regions,All Stages,All Routes,18.51,18.51,18.51
2019,50-54,Female,IMD1,All Regions,All Stages,All Routes,18.67,18.67,18.67
2020,50-54,Female,IMD1,All Regions,All Stages,All Routes,24.02,24.02,24.02
2021,50-54,Female,IMD1,All Regions,All Stages,All Routes,21.44,21.44,21.44
2022,50-54,Female,IMD1,All Regions,All Stages,All Routes,21.33,21.33,21.33
2023,50-54,Female,IMD1,All Regions,All Stages,All Routes,18.28,18.28,18.28
allyears,50-54,Female,IMD1,All Regions,All Stages,All Routes,23.5,21.6,25.4
2016,55-59,Female,IMD1,All Regions,All Stages,All Routes,31.57,31.57,31.57
2017,55-59,Female,IMD1,All Regions,All Stages,All Routes,27.61,27.61,27.61
2018,55-59,Female,IMD1,All Regions,All Stages,All Routes,31.83,31.83,31.83
2019,55-59,Female,IMD1,All Regions,All Stages,All Routes,29.14,29.14,29.14
2020,55-59,Female,IMD1,All Regions,All Stages,All Routes,28.7,28.7,28.7
2021,55-59,Female,IMD1,All Regions,All Stages,All Routes,34.61,34.61,34.61
2022,55-59,Female,IMD1,All Regions,All Stages,All Routes,27.38,27.38,27.38
2023,55-59,Female,IMD1,All Regions,All Stages,All Routes,27.96,27.96,27.96
allyears,55-59,Female,IMD1,All Regions,All Stages,All Routes,34.35,31.94,36.76
2016,60-64,Female,IMD1,All Regions,All Stages,All Routes,40.23,40.23,40.23
2017,60-64,Female,IMD1,All Regions,All Stages,All Routes,41.51,41.51,41.51
2018,60-64,Female,IMD1,All Regions,All Stages,All Routes,42.55,42.55,42.55
2019,60-64,Female,IMD1,All Regions,All Stages,All Routes,43.59,43.59,43.59
2020,60-64,Female,IMD1,All Regions,All Stages,All Routes,35.66,35.66,35.66
2021,60-64,Female,IMD1,All Regions,All Stages,All Routes,40.66,40.66,40.66
2022,60-64,Female,IMD1,All Regions,All Stages,All Routes,32.56,32.56,32.56
2023,60-64,Female,IMD1,All Regions,All Stages,All Routes,32.22,32.22,32.22
allyears,60-64,Female,IMD1,All Regions,All Stages,All Routes,44.4,41.39,47.41
2016,65-69,Female,IMD1,All Regions,All Stages,All Routes,38.87,38.87,38.87
2017,65-69,Female,IMD1,All Regions,All Stages,All Routes,45.36,45.36,45.36
