quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
.5,.87,.82999998,.89999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
.75,.81,.76999998,.83999997,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
1,.75999999,.72000003,.80000001,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
1.25,.73000002,.68000001,.76999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
1.5,.70999998,.66000003,.75,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
1.75,.68000001,.63999999,.73000002,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
2,.67000002,.62,.70999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.62,.70999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.61000001,.69999999,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.58999997,.69,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
3,.63999999,.58999997,.69,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
3.25,.62,.56999999,.67000002,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.55000001,.64999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.54000002,.63999999,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
4,.57999998,.52999997,.63,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
4.25,.56,.50999999,.62,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.5,.61000001,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.49000001,.60000002,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
5,.52999997,.47,.57999998,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
0,1,.99000001,1,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
.25,.93000001,.89999998,.94999999,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
.5,.88,.83999997,.91000003,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
.75,.80000001,.75999999,.83999997,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
1,.76999998,.73000002,.81,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.68000001,.75999999,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
1.5,.70999998,.66000003,.75,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
1.75,.69,.64999998,.74000001,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
2,.68000001,.63,.73000002,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.61000001,.70999998,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.60000002,.69999999,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
2.75,.62,.57999998,.67000002,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
3,.61000001,.56,.66000003,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.56,.66000003,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
3.5,.58999997,.52999997,.63999999,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.51999998,.62,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
4,.54000002,.49000001,.58999997,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.47999999,.58999997,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
4.5,.50999999,.44999999,.56999999,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
4.75,.5,.44,.56,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
5,.47999999,.41999999,.54000002,All Persons,IMD Q2,West Midlands,All Routes,All Stages,All Ages,All Years
