diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2023,all ages,All Persons,IMD Q3,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_3_stage_early
allyears,all ages,All Persons,IMD Q3,All Regions,Early,All Routes,1635,2.4,2.3,2.5,
2016,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,295,2.8,2.4,3.1,imd_3_stage_advanced
2017,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,275,2.5,2.2,2.8,imd_3_stage_advanced
2018,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,285,2.6,2.3,2.8,imd_3_stage_advanced
2019,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,320,2.8,2.5,3.2,imd_3_stage_advanced
2020,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,320,2.8,2.5,3.1,imd_3_stage_advanced
2021,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,365,3.4,3.0,3.7,imd_3_stage_advanced
2022,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_3_stage_advanced
2023,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_3_stage_advanced
allyears,all ages,All Persons,IMD Q3,All Regions,Advanced,All Routes,1860,2.1,2.0,2.2,
2016,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,15,1.7,0.8,2.5,imd_3_region_East Midlands
2017,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,15,1.9,1.0,2.8,imd_3_region_East Midlands
2018,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,40,4.0,2.8,5.3,imd_3_region_East Midlands
2019,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,735,77.0,71.4,82.6,imd_3_region_East Midlands
2020,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,660,68.3,63.1,73.5,imd_3_region_East Midlands
2021,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,760,93.7,87.1,100.4,imd_3_region_East Midlands
2022,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,10,0.9,0.3,1.5,imd_3_region_East Midlands
2023,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,10,0.9,0.3,1.5,imd_3_region_East Midlands
allyears,all ages,All Persons,IMD Q3,East Midlands,All Stages,All Routes,2245,7.0,6.4,7.7,
2016,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,15,1.0,0.5,1.5,imd_3_region_East of England
2017,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,15,1.1,0.6,1.6,imd_3_region_East of England
2018,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,40,2.4,1.6,3.1,imd_3_region_East of England
2019,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,735,45.4,42.1,48.7,imd_3_region_East of England
2020,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,660,40.2,37.2,43.3,imd_3_region_East of England
2021,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,760,53.4,49.6,57.2,imd_3_region_East of England
2022,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,10,0.5,0.2,0.9,imd_3_region_East of England
2023,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,10,0.5,0.2,0.9,imd_3_region_East of England
allyears,all ages,All Persons,IMD Q3,East of England,All Stages,All Routes,2245,6.5,6.1,7.0,
2016,all ages,All Persons,IMD Q3,London,All Stages,All Routes,15,0.9,0.5,1.4,imd_3_region_London
2017,all ages,All Persons,IMD Q3,London,All Stages,All Routes,15,1.2,0.6,1.8,imd_3_region_London
2018,all ages,All Persons,IMD Q3,London,All Stages,All Routes,40,2.6,1.7,3.4,imd_3_region_London
2019,all ages,All Persons,IMD Q3,London,All Stages,All Routes,735,51.4,47.6,55.1,imd_3_region_London
2020,all ages,All Persons,IMD Q3,London,All Stages,All Routes,660,45.8,42.3,49.4,imd_3_region_London
2021,all ages,All Persons,IMD Q3,London,All Stages,All Routes,760,44.9,41.7,48.1,imd_3_region_London
2022,all ages,All Persons,IMD Q3,London,All Stages,All Routes,10,0.7,0.2,1.1,imd_3_region_London
2023,all ages,All Persons,IMD Q3,London,All Stages,All Routes,10,0.6,0.2,1.0,imd_3_region_London
allyears,all ages,All Persons,IMD Q3,London,All Stages,All Routes,2245,7.2,6.7,7.7,
2016,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,15,3.8,1.8,5.7,imd_3_region_North East
2017,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,15,4.1,2.2,6.1,imd_3_region_North East
2018,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,40,9.0,6.1,11.9,imd_3_region_North East
2019,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,735,169.2,156.9,181.5,imd_3_region_North East
2020,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,660,149.9,138.4,161.4,imd_3_region_North East
2021,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,760,178.0,165.3,190.7,imd_3_region_North East
2022,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,10,2.0,0.7,3.4,imd_3_region_North East
2023,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,10,2.1,0.7,3.4,imd_3_region_North East
allyears,all ages,All Persons,IMD Q3,North East,All Stages,All Routes,2245,7.0,6.0,7.9,
2016,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,15,1.4,0.7,2.1,imd_3_region_North West
2017,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,15,1.5,0.8,2.3,imd_3_region_North West
2018,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,40,3.3,2.3,4.4,imd_3_region_North West
2019,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,735,63.4,58.8,68.0,imd_3_region_North West
2020,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,660,56.2,51.9,60.5,imd_3_region_North West
2021,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,760,65.6,61.0,70.3,imd_3_region_North West
2022,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,10,0.8,0.3,1.2,imd_3_region_North West
2023,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,10,0.8,0.3,1.2,imd_3_region_North West
allyears,all ages,All Persons,IMD Q3,North West,All Stages,All Routes,2245,7.0,6.4,7.6,
2016,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,15,0.9,0.4,1.3,imd_3_region_South East
2017,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,15,1.0,0.5,1.4,imd_3_region_South East
2018,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,40,2.1,1.4,2.8,imd_3_region_South East
2019,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,735,40.5,37.5,43.4,imd_3_region_South East
2020,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,660,35.9,33.1,38.6,imd_3_region_South East
2021,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,760,43.8,40.7,46.9,imd_3_region_South East
2022,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,10,0.5,0.2,0.8,imd_3_region_South East
2023,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,10,0.5,0.2,0.8,imd_3_region_South East
allyears,all ages,All Persons,IMD Q3,South East,All Stages,All Routes,2245,6.7,6.2,7.1,
2016,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,15,1.0,0.5,1.6,imd_3_region_South West
2017,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,15,1.1,0.6,1.7,imd_3_region_South West
2018,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,40,2.5,1.7,3.2,imd_3_region_South West
2019,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,735,45.9,42.6,49.3,imd_3_region_South West
2020,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,660,40.4,37.3,43.5,imd_3_region_South West
2021,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,760,56.2,52.2,60.2,imd_3_region_South West
2022,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,10,0.5,0.2,0.9,imd_3_region_South West
2023,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,10,0.6,0.2,0.9,imd_3_region_South West
allyears,all ages,All Persons,IMD Q3,South West,All Stages,All Routes,2245,6.8,6.3,7.3,
2016,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,15,1.3,0.7,2.0,imd_3_region_West Midlands
2017,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,15,1.5,0.8,2.2,imd_3_region_West Midlands
2018,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,40,3.2,2.2,4.2,imd_3_region_West Midlands
2019,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,735,60.2,55.8,64.6,imd_3_region_West Midlands
2020,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,660,53.5,49.4,57.6,imd_3_region_West Midlands
2021,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,760,73.4,68.2,78.6,imd_3_region_West Midlands
2022,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,10,0.7,0.2,1.2,imd_3_region_West Midlands
2023,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,10,0.7,0.2,1.2,imd_3_region_West Midlands
allyears,all ages,All Persons,IMD Q3,West Midlands,All Stages,All Routes,2245,7.0,6.5,7.6,
2016,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,15,1.6,0.8,2.4,imd_3_region_Yorkshire and The Humber
2017,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,15,1.7,0.9,2.6,imd_3_region_Yorkshire and The Humber
2018,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,40,3.8,2.6,5.0,imd_3_region_Yorkshire and The Humber
2019,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,735,71.9,66.7,77.1,imd_3_region_Yorkshire and The Humber
2020,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,660,63.7,58.8,68.5,imd_3_region_Yorkshire and The Humber
2021,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,760,73.1,67.9,78.3,imd_3_region_Yorkshire and The Humber
2022,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,10,0.8,0.3,1.4,imd_3_region_Yorkshire and The Humber
2023,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,10,0.8,0.3,1.4,imd_3_region_Yorkshire and The Humber
allyears,all ages,All Persons,IMD Q3,Yorkshire and The Humber,All Stages,All Routes,2245,7.5,6.8,8.1,
2016,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,615,5.5,5.0,5.9,imd_4
2017,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,640,5.6,5.1,6.0,imd_4
2018,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,630,5.4,5.0,5.8,imd_4
2019,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,650,5.4,5.0,5.9,imd_4
2020,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,610,5.0,4.6,5.4,imd_4
2021,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,700,6.5,6.1,7.0,imd_4
2022,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,590,4.9,4.5,5.3,imd_4
2023,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,565,4.7,4.3,5.0,imd_4
allyears,all ages,All Persons,IMD Q4,All Regions,All Stages,All Routes,5000,6.1,6.0,6.3,
2016,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,25,0.2,0.1,0.3,imd_4_rtd_emergency
2017,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,35,0.3,0.2,0.4,imd_4_rtd_emergency
2018,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,25,0.2,0.1,0.3,imd_4_rtd_emergency
2019,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2020,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2021,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2022,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,25,0.2,0.1,0.3,imd_4_rtd_emergency
2023,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,30,0.2,0.1,0.3,imd_4_rtd_emergency
allyears,all ages,All Persons,IMD Q4,All Regions,All Stages,Emergency,140,0.2,0.1,0.2,
2016,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,580,5.2,4.7,5.6,imd_4_rtd_non_emergency
2017,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,590,5.1,4.7,5.5,imd_4_rtd_non_emergency
2018,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,570,4.9,4.5,5.3,imd_4_rtd_non_emergency
2019,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2020,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2021,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2022,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,555,4.6,4.2,4.9,imd_4_rtd_non_emergency
2023,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,530,4.4,4.0,4.7,imd_4_rtd_non_emergency
allyears,all ages,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,2825,3.5,3.3,3.6,
2016,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,285,2.5,2.2,2.8,imd_4_stage_early
2017,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,305,2.7,2.4,2.9,imd_4_stage_early
2018,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,255,2.2,1.9,2.5,imd_4_stage_early
2019,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,260,2.2,1.9,2.5,imd_4_stage_early
2020,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,220,1.8,1.6,2.1,imd_4_stage_early
2021,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,265,2.5,2.2,2.8,imd_4_stage_early
2022,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_early
2023,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_early
allyears,all ages,All Persons,IMD Q4,All Regions,Early,All Routes,1590,2.1,2.0,2.2,
2016,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,265,2.4,2.1,2.6,imd_4_stage_advanced
2017,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,265,2.3,2.0,2.6,imd_4_stage_advanced
2018,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,290,2.5,2.2,2.8,imd_4_stage_advanced
2019,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,240,2.0,1.8,2.3,imd_4_stage_advanced
2020,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,310,2.6,2.3,2.9,imd_4_stage_advanced
2021,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,335,3.1,2.8,3.5,imd_4_stage_advanced
2022,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_advanced
2023,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_advanced
allyears,all ages,All Persons,IMD Q4,All Regions,Advanced,All Routes,1705,2.0,1.9,2.1,
2016,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,10,1.0,0.4,1.6,imd_4_region_East Midlands
2017,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,20,1.7,0.9,2.5,imd_4_region_East Midlands
2018,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,30,2.8,1.8,3.8,imd_4_region_East Midlands
2019,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,650,56.5,52.1,60.9,imd_4_region_East Midlands
2020,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,610,52.2,48.0,56.3,imd_4_region_East Midlands
2021,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,700,75.3,69.7,80.9,imd_4_region_East Midlands
2022,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,10,0.8,0.3,1.3,imd_4_region_East Midlands
2023,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.6,0.2,1.0,imd_4_region_East Midlands
allyears,all ages,All Persons,IMD Q4,East Midlands,All Stages,All Routes,2030,6.7,6.1,7.3,
2016,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,10,0.8,0.3,1.2,imd_4_region_East of England
2017,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,20,1.3,0.7,2.0,imd_4_region_East of England
2018,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,30,2.2,1.4,3.0,imd_4_region_East of England
2019,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,650,44.6,41.2,48.1,imd_4_region_East of England
2020,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,610,41.2,37.9,44.5,imd_4_region_East of England
2021,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,700,54.0,50.0,58.0,imd_4_region_East of England
2022,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,10,0.6,0.2,1.0,imd_4_region_East of England
2023,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.5,0.1,0.9,imd_4_region_East of England
allyears,all ages,All Persons,IMD Q4,East of England,All Stages,All Routes,2030,5.9,5.4,6.4,
2016,all ages,All Persons,IMD Q4,London,All Stages,All Routes,10,0.9,0.4,1.5,imd_4_region_London
2017,all ages,All Persons,IMD Q4,London,All Stages,All Routes,20,1.6,0.9,2.3,imd_4_region_London
2018,all ages,All Persons,IMD Q4,London,All Stages,All Routes,30,2.7,1.7,3.6,imd_4_region_London
2019,all ages,All Persons,IMD Q4,London,All Stages,All Routes,650,53.4,49.3,57.6,imd_4_region_London
2020,all ages,All Persons,IMD Q4,London,All Stages,All Routes,610,48.9,45.0,52.8,imd_4_region_London
2021,all ages,All Persons,IMD Q4,London,All Stages,All Routes,700,54.0,49.9,58.0,imd_4_region_London
2022,all ages,All Persons,IMD Q4,London,All Stages,All Routes,10,0.7,0.2,1.2,imd_4_region_London
2023,all ages,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,0.6,0.2,1.1,imd_4_region_London
allyears,all ages,All Persons,IMD Q4,London,All Stages,All Routes,2030,6.3,5.7,6.8,
2016,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,10,2.5,1.0,3.9,imd_4_region_North East
2017,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,20,4.3,2.4,6.3,imd_4_region_North East
2018,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,30,7.2,4.7,9.7,imd_4_region_North East
2019,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,650,144.7,133.5,156.0,imd_4_region_North East
2020,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,610,134.0,123.3,144.8,imd_4_region_North East
2021,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,700,162.5,150.4,174.6,imd_4_region_North East
2022,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,10,2.0,0.7,3.3,imd_4_region_North East
2023,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,1.5,0.4,2.6,imd_4_region_North East
allyears,all ages,All Persons,IMD Q4,North East,All Stages,All Routes,2030,5.9,5.1,6.8,
2016,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,10,0.8,0.3,1.2,imd_4_region_North West
2017,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,20,1.4,0.8,2.0,imd_4_region_North West
2018,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,30,2.3,1.5,3.0,imd_4_region_North West
2019,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,650,45.4,41.9,48.9,imd_4_region_North West
2020,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,610,42.2,38.8,45.6,imd_4_region_North West
2021,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,700,51.6,47.8,55.4,imd_4_region_North West
2022,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,10,0.6,0.2,1.1,imd_4_region_North West
2023,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,0.5,0.1,0.8,imd_4_region_North West
allyears,all ages,All Persons,IMD Q4,North West,All Stages,All Routes,2030,6.0,5.5,6.4,
2016,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,10,0.5,0.2,0.8,imd_4_region_South East
2017,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,20,0.8,0.5,1.2,imd_4_region_South East
2018,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,30,1.4,0.9,1.9,imd_4_region_South East
2019,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,650,28.1,25.9,30.3,imd_4_region_South East
2020,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,610,26.0,24.0,28.1,imd_4_region_South East
2021,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,700,34.2,31.7,36.8,imd_4_region_South East
2022,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,10,0.4,0.1,0.7,imd_4_region_South East
2023,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,imd_4_region_South East
allyears,all ages,All Persons,IMD Q4,South East,All Stages,All Routes,2030,6.2,5.8,6.6,
2016,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,10,0.7,0.3,1.2,imd_4_region_South West
2017,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,20,1.3,0.7,1.9,imd_4_region_South West
2018,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,30,2.1,1.4,2.8,imd_4_region_South West
2019,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,650,42.1,38.9,45.4,imd_4_region_South West
2020,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,610,39.2,36.1,42.4,imd_4_region_South West
2021,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,700,53.5,49.5,57.5,imd_4_region_South West
2022,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,10,0.6,0.2,1.0,imd_4_region_South West
2023,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,0.5,0.1,0.8,imd_4_region_South West
allyears,all ages,All Persons,IMD Q4,South West,All Stages,All Routes,2030,6.3,5.8,6.8,
2016,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,10,1.0,0.4,1.5,imd_4_region_West Midlands
2017,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,20,1.7,0.9,2.5,imd_4_region_West Midlands
2018,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,30,2.8,1.8,3.7,imd_4_region_West Midlands
2019,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,650,55.3,51.0,59.6,imd_4_region_West Midlands
2020,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,610,51.6,47.5,55.8,imd_4_region_West Midlands
2021,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,700,78.7,72.8,84.5,imd_4_region_West Midlands
2022,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,10,0.8,0.3,1.3,imd_4_region_West Midlands
2023,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.6,0.2,1.0,imd_4_region_West Midlands
allyears,all ages,All Persons,IMD Q4,West Midlands,All Stages,All Routes,2030,6.0,5.5,6.6,
2016,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,10,1.1,0.4,1.7,imd_4_region_Yorkshire and The Humber
2017,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,20,1.9,1.0,2.8,imd_4_region_Yorkshire and The Humber
2018,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,30,3.1,2.1,4.2,imd_4_region_Yorkshire and The Humber
2019,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,650,63.5,58.6,68.4,imd_4_region_Yorkshire and The Humber
2020,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,610,58.7,54.0,63.4,imd_4_region_Yorkshire and The Humber
2021,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,700,66.8,61.8,71.7,imd_4_region_Yorkshire and The Humber
2022,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,10,0.9,0.3,1.4,imd_4_region_Yorkshire and The Humber
2023,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,0.7,0.2,1.2,imd_4_region_Yorkshire and The Humber
allyears,all ages,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,2030,6.7,6.1,7.3,
2016,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,615,5.4,5.0,5.8,imd_5
2017,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,550,4.7,4.3,5.1,imd_5
2018,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,570,4.8,4.4,5.2,imd_5
2019,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,595,4.9,4.5,5.3,imd_5
2020,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,570,4.6,4.2,5.0,imd_5
2021,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,685,6.4,6.0,6.9,imd_5
2022,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,595,4.7,4.4,5.1,imd_5
2023,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,565,4.5,4.1,4.9,imd_5
allyears,all ages,All Persons,IMD Q5,All Regions,All Stages,All Routes,4745,5.7,5.6,5.9,
2016,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,20,0.2,0.1,0.3,imd_5_rtd_emergency
2017,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,10,0.1,0.0,0.2,imd_5_rtd_emergency
2018,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,20,0.2,0.1,0.3,imd_5_rtd_emergency
2019,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2020,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2021,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2022,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,30,0.2,0.2,0.3,imd_5_rtd_emergency
2023,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,35,0.3,0.2,0.3,imd_5_rtd_emergency
allyears,all ages,All Persons,IMD Q5,All Regions,All Stages,Emergency,115,0.1,0.1,0.2,
