diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,10,0.6,0.2,1.0,region_North East_rtd_non_emergency
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,10,0.7,0.3,1.1,region_North East_rtd_non_emergency
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,80,0.7,0.6,0.9,
2016,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,15,0.9,0.5,1.4,region_North East_stage_early
2017,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.6,0.2,0.9,region_North East_stage_early
2018,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,10,0.7,0.3,1.1,region_North East_stage_early
2019,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,10,0.8,0.3,1.2,region_North East_stage_early
2020,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,10,0.7,0.3,1.1,region_North East_stage_early
2021,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.3,0.0,0.5,region_North East_stage_early
2022,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_North East_stage_early
2023,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_North East_stage_early
allyears,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,45,0.5,0.4,0.6,
2016,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.6,0.2,0.9,region_North East_stage_advanced
2017,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,10,0.8,0.3,1.2,region_North East_stage_advanced
2018,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.5,0.2,0.9,region_North East_stage_advanced
